datetime,temperature,predicted_demand_10000kW
2026-09-17 00:00:00,19.6,2505.9735154954683
2026-09-17 01:00:00,19.4,2392.8671814028917
2026-09-17 02:00:00,19.3,2350.4507307354434
2026-09-17 03:00:00,19.2,2344.714671980367
2026-09-17 04:00:00,19.1,2388.8522751158507
2026-09-17 05:00:00,19.2,2430.343633960347
2026-09-17 06:00:00,19.4,2515.01390197194
2026-09-17 07:00:00,19.8,2741.8484381388344
2026-09-17 08:00:00,20.3,3006.251354752349
2026-09-17 09:00:00,21.0,3229.6113468956696
2026-09-17 10:00:00,21.8,3306.520131867123
2026-09-17 11:00:00,22.6,3332.113974519211
2026-09-17 12:00:00,23.5,3314.4901068793797
2026-09-17 13:00:00,23.9,3362.4595273961836
2026-09-17 14:00:00,23.8,3372.0341835534873
2026-09-17 15:00:00,23.7,3370.1321310412104
2026-09-17 16:00:00,23.4,3343.5333197035366
2026-09-17 17:00:00,22.7,3310.7779279478773
2026-09-17 18:00:00,21.8,3229.0518406646506
2026-09-17 19:00:00,21.2,3084.4382524313587
2026-09-17 20:00:00,20.7,2901.8032579451587
2026-09-17 21:00:00,20.4,2754.818250199006
2026-09-17 22:00:00,20.1,2639.1738437994704
2026-09-17 23:00:00,19.8,2544.470861750551
