datetime,temperature,predicted_demand_10000kW
2026-09-20 00:00:00,21.7,2298.24078480949
2026-09-20 01:00:00,21.6,2202.5245504481136
2026-09-20 02:00:00,21.5,2140.729422088818
2026-09-20 03:00:00,21.5,2158.4870374877682
2026-09-20 04:00:00,21.5,2168.9503316248833
2026-09-20 05:00:00,21.7,2171.3854165160087
2026-09-20 06:00:00,21.8,2162.288013058832
2026-09-20 07:00:00,21.8,2270.6899300651335
2026-09-20 08:00:00,21.8,2440.212764548236
2026-09-20 09:00:00,22.0,2649.2975195617373
2026-09-20 10:00:00,22.1,2713.161483098365
2026-09-20 11:00:00,22.5,2785.3381262941225
2026-09-20 12:00:00,22.7,2790.709759833851
2026-09-20 13:00:00,22.7,2818.126423021097
2026-09-20 14:00:00,22.9,2792.9289210132033
2026-09-20 15:00:00,22.9,2791.3906921238936
2026-09-20 16:00:00,22.8,2877.8875769344054
2026-09-20 17:00:00,22.5,2965.6297854933696
2026-09-20 18:00:00,22.4,3033.4405395508043
2026-09-20 19:00:00,21.9,2935.3469672162087
2026-09-20 20:00:00,21.7,2786.0295930502534
2026-09-20 21:00:00,21.7,2667.721734395464
2026-09-20 22:00:00,21.5,2597.8373611185793
2026-09-20 23:00:00,21.3,2486.2119411417802
