datetime,temperature,predicted_demand_10000kW
2026-09-22 00:00:00,25.9,2486.7342236810364
2026-09-22 01:00:00,26.0,2360.111410116368
2026-09-22 02:00:00,25.9,2344.1174162073858
2026-09-22 03:00:00,25.7,2367.6385978128374
2026-09-22 04:00:00,25.7,2356.3204861979584
2026-09-22 05:00:00,25.9,2289.205653453995
2026-09-22 06:00:00,25.8,2290.1649810514828
2026-09-22 07:00:00,26.0,2348.711311166923
2026-09-22 08:00:00,26.5,2647.064671450944
2026-09-22 09:00:00,27.1,2999.0749637923705
2026-09-22 10:00:00,28.0,3106.9290742051853
2026-09-22 11:00:00,29.1,3130.4642377084006
2026-09-22 12:00:00,30.1,3119.3998389197445
2026-09-22 13:00:00,30.6,3092.1596834212446
2026-09-22 14:00:00,30.9,3103.6296524622803
2026-09-22 15:00:00,30.9,3165.9703853020414
2026-09-22 16:00:00,30.2,3159.825438076402
2026-09-22 17:00:00,28.3,3233.205798813306
2026-09-22 18:00:00,26.4,3112.452165134943
2026-09-22 19:00:00,25.6,3074.7321429855274
2026-09-22 20:00:00,24.9,2989.629613747156
2026-09-22 21:00:00,24.5,2875.702585325198
2026-09-22 22:00:00,24.2,2712.0994761096945
2026-09-22 23:00:00,23.8,2602.5630418670626
