datetime,temperature,predicted_demand_10000kW
2026-08-24 00:00:00,24.8,2693.012637938233
2026-08-24 01:00:00,24.6,2488.2165888695504
2026-08-24 02:00:00,24.5,2467.1833616414297
2026-08-24 03:00:00,24.2,2467.5624094508903
2026-08-24 04:00:00,23.9,2471.5639057509716
2026-08-24 05:00:00,23.6,2533.594262819767
2026-08-24 06:00:00,23.9,2769.4857744116803
2026-08-24 07:00:00,24.8,3140.3432473868015
2026-08-24 08:00:00,26.3,3593.1228226595654
2026-08-24 09:00:00,28.0,3862.9269466724586
2026-08-24 10:00:00,29.2,4118.5055820304115
2026-08-24 11:00:00,30.1,4246.525189047739
2026-08-24 12:00:00,30.8,4323.611886172456
2026-08-24 13:00:00,31.4,4589.127524789662
2026-08-24 14:00:00,31.7,4502.9776642287425
2026-08-24 15:00:00,31.7,4502.548840918399
2026-08-24 16:00:00,31.1,4319.398550020556
2026-08-24 17:00:00,30.1,4179.037108261113
2026-08-24 18:00:00,28.9,4056.171692899415
2026-08-24 19:00:00,28.0,3914.144229798975
2026-08-24 20:00:00,27.4,3706.592012391413
2026-08-24 21:00:00,26.9,3524.421508428201
2026-08-24 22:00:00,26.6,3363.4655726598767
2026-08-24 23:00:00,26.2,3145.2405369747908
