datetime,temperature,predicted_demand_10000kW
2026-08-26 00:00:00,26.0,3000.5883304628983
2026-08-26 01:00:00,25.8,2786.579712472942
2026-08-26 02:00:00,25.4,2719.2263903973358
2026-08-26 03:00:00,25.2,2732.1744247206457
2026-08-26 04:00:00,24.9,2738.710801385999
2026-08-26 05:00:00,24.7,2777.760576585741
2026-08-26 06:00:00,24.9,2961.004474910878
2026-08-26 07:00:00,26.4,3342.281280760385
2026-08-26 08:00:00,28.5,3939.2502837908696
2026-08-26 09:00:00,30.6,4489.732895689221
2026-08-26 10:00:00,32.0,4758.812994116414
2026-08-26 11:00:00,32.8,4959.669048177295
2026-08-26 12:00:00,32.7,4930.426223753157
2026-08-26 13:00:00,32.8,5007.969149033766
2026-08-26 14:00:00,32.3,4964.371417164692
2026-08-26 15:00:00,32.9,5017.4446907253205
2026-08-26 16:00:00,32.4,4934.257762240537
2026-08-26 17:00:00,31.1,4678.261606750648
2026-08-26 18:00:00,30.0,4557.788231608061
2026-08-26 19:00:00,29.3,4379.528409312841
2026-08-26 20:00:00,28.7,4073.031321293648
2026-08-26 21:00:00,28.1,3870.7937835102366
2026-08-26 22:00:00,27.6,3509.8250740099024
2026-08-26 23:00:00,27.2,3427.504423051612
