datetime,temperature,predicted_demand_10000kW
2026-08-09 00:00:00,24.8,2800.085258908795
2026-08-09 01:00:00,24.4,2586.7161756085766
2026-08-09 02:00:00,24.4,2517.4295501060983
2026-08-09 03:00:00,24.1,2526.3114781059126
2026-08-09 04:00:00,23.8,2512.3510480766363
2026-08-09 05:00:00,23.7,2491.963009898279
2026-08-09 06:00:00,24.0,2545.823039230739
2026-08-09 07:00:00,25.0,2828.0214275699177
2026-08-09 08:00:00,26.2,3080.5610703601037
2026-08-09 09:00:00,27.3,3260.5113519353117
2026-08-09 10:00:00,28.2,3707.3015275292028
2026-08-09 11:00:00,29.1,3799.0871028710144
2026-08-09 12:00:00,29.9,3984.6674979790137
2026-08-09 13:00:00,30.9,4008.2464848665136
2026-08-09 14:00:00,31.4,4083.7413441321864
2026-08-09 15:00:00,31.5,4081.934057768307
2026-08-09 16:00:00,31.3,4023.9496682618646
2026-08-09 17:00:00,30.2,3840.1401486492264
2026-08-09 18:00:00,29.2,3794.849684617221
2026-08-09 19:00:00,28.0,3583.9909310887174
2026-08-09 20:00:00,27.3,3485.066896451444
2026-08-09 21:00:00,26.5,3323.9858377655705
2026-08-09 22:00:00,25.7,3150.8272180002373
2026-08-09 23:00:00,24.9,2868.4292252900286
