datetime,temperature,predicted_demand_10000kW
2026-08-21 00:00:00,24.8,2870.829392637591
2026-08-21 01:00:00,24.7,2666.60398745478
2026-08-21 02:00:00,24.6,2565.018908651534
2026-08-21 03:00:00,24.6,2565.018908651534
2026-08-21 04:00:00,24.6,2565.913256806055
2026-08-21 05:00:00,24.5,2664.662176882884
2026-08-21 06:00:00,24.6,2805.566110324527
2026-08-21 07:00:00,25.2,3191.3345978050625
2026-08-21 08:00:00,25.9,3592.332202098206
2026-08-21 09:00:00,26.8,3989.54409155174
2026-08-21 10:00:00,28.0,4153.607279202208
2026-08-21 11:00:00,28.8,4246.6498206167935
2026-08-21 12:00:00,29.3,4381.21319912252
2026-08-21 13:00:00,29.7,4432.79357131453
2026-08-21 14:00:00,29.8,4425.733819128902
2026-08-21 15:00:00,29.6,4454.209930770644
2026-08-21 16:00:00,28.7,4209.170505699182
2026-08-21 17:00:00,28.1,4152.801069859211
2026-08-21 18:00:00,27.4,4002.7885466074863
2026-08-21 19:00:00,26.8,3849.3732543069527
2026-08-21 20:00:00,26.4,3663.794207921803
2026-08-21 21:00:00,26.0,3468.4023490419067
2026-08-21 22:00:00,25.7,3382.7733187711997
2026-08-21 23:00:00,25.5,3174.3477598740023
