datetime,temperature,predicted_demand_10000kW
2026-09-05 00:00:00,20.9,2517.9061623722796
2026-09-05 01:00:00,20.8,2428.5956816926027
2026-09-05 02:00:00,20.6,2384.305308471711
2026-09-05 03:00:00,20.6,2377.089468805746
2026-09-05 04:00:00,20.5,2408.538369971004
2026-09-05 05:00:00,20.6,2406.952981344212
2026-09-05 06:00:00,20.6,2406.7420103702716
2026-09-05 07:00:00,20.8,2552.194340359879
2026-09-05 08:00:00,21.2,2687.29170380325
2026-09-05 09:00:00,22.1,2916.205697632672
2026-09-05 10:00:00,23.3,2960.388011536699
2026-09-05 11:00:00,24.1,2952.8324694146513
2026-09-05 12:00:00,24.7,2978.7422164994196
2026-09-05 13:00:00,25.2,3005.2078741902696
2026-09-05 14:00:00,25.7,3024.357585293327
2026-09-05 15:00:00,25.8,3038.504763029485
2026-09-05 16:00:00,25.3,3050.793019453909
2026-09-05 17:00:00,24.8,3158.486814024067
2026-09-05 18:00:00,23.9,3078.2656428191717
2026-09-05 19:00:00,23.3,2934.269602463704
2026-09-05 20:00:00,22.8,2831.9727459574815
2026-09-05 21:00:00,22.4,2659.676422602438
2026-09-05 22:00:00,22.0,2607.4995541012036
2026-09-05 23:00:00,21.8,2463.3997878942655
