datetime,temperature,predicted_demand_10000kW
2026-08-28 00:00:00,22.8,2885.2998281407636
2026-08-28 01:00:00,23.2,2723.3899581424885
2026-08-28 02:00:00,23.1,2612.479432641872
2026-08-28 03:00:00,23.2,2625.4456894255827
2026-08-28 04:00:00,22.9,2619.971424979023
2026-08-28 05:00:00,22.7,2672.1546302702964
2026-08-28 06:00:00,22.7,2805.940865870263
2026-08-28 07:00:00,22.9,3119.0386599743156
2026-08-28 08:00:00,23.9,3487.19681855431
2026-08-28 09:00:00,25.5,3970.9610186575082
2026-08-28 10:00:00,28.1,4212.602230457598
2026-08-28 11:00:00,29.3,4321.792874227665
2026-08-28 12:00:00,30.3,4425.941314712307
2026-08-28 13:00:00,31.7,4456.513304326184
2026-08-28 14:00:00,32.4,4432.300089540257
2026-08-28 15:00:00,32.5,4416.80815554109
2026-08-28 16:00:00,32.1,4304.933113625354
2026-08-28 17:00:00,31.6,4297.121572273747
2026-08-28 18:00:00,30.3,4074.960176789904
2026-08-28 19:00:00,29.3,3882.069073483316
2026-08-28 20:00:00,28.7,3686.9508425567333
2026-08-28 21:00:00,28.2,3471.249566560993
2026-08-28 22:00:00,27.4,3157.6368748301156
2026-08-28 23:00:00,26.7,3011.944321030929
