datetime,temperature,predicted_demand_10000kW
2026-08-14 00:00:00,23.6,2475.565192001944
2026-08-14 01:00:00,23.6,2375.915638534573
2026-08-14 02:00:00,23.6,2346.5007168097845
2026-08-14 03:00:00,23.6,2319.0560211789243
2026-08-14 04:00:00,23.6,2354.0599502844525
2026-08-14 05:00:00,23.6,2406.148173797186
2026-08-14 06:00:00,23.6,2435.7155519459247
2026-08-14 07:00:00,23.9,2685.0354814292323
2026-08-14 08:00:00,24.2,3042.354907980087
2026-08-14 09:00:00,24.5,3277.6181303784556
2026-08-14 10:00:00,24.9,3359.392627916368
2026-08-14 11:00:00,25.3,3469.814133512409
2026-08-14 12:00:00,25.5,3463.808845408117
2026-08-14 13:00:00,25.6,3449.5846466789935
2026-08-14 14:00:00,25.6,3444.206967064977
2026-08-14 15:00:00,25.3,3332.695204359976
2026-08-14 16:00:00,25.0,3300.2861064520034
2026-08-14 17:00:00,24.8,3230.23227896219
2026-08-14 18:00:00,24.6,3227.157459811271
2026-08-14 19:00:00,24.5,3268.3835347190343
2026-08-14 20:00:00,24.4,3192.273407350848
2026-08-14 21:00:00,24.3,2970.5744521597444
2026-08-14 22:00:00,24.1,2847.816288919019
2026-08-14 23:00:00,24.0,2748.3857317412785
