datetime,temperature,predicted_demand_10000kW
2026-09-24 00:00:00,19.5,2453.91186849547
2026-09-24 01:00:00,19.6,2305.263888422327
2026-09-24 02:00:00,19.5,2256.6649770244494
2026-09-24 03:00:00,19.3,2273.151339371226
2026-09-24 04:00:00,19.2,2281.9164182527816
2026-09-24 05:00:00,19.1,2316.2952886967732
2026-09-24 06:00:00,19.2,2408.3157179043837
2026-09-24 07:00:00,20.0,2589.348026657787
2026-09-24 08:00:00,21.6,2802.846268184357
2026-09-24 09:00:00,23.1,3049.23363930975
2026-09-24 10:00:00,24.3,3224.699205864377
2026-09-24 11:00:00,25.9,3366.853963980174
2026-09-24 12:00:00,27.0,3341.3790202713003
2026-09-24 13:00:00,28.0,3435.962294271976
2026-09-24 14:00:00,28.6,3443.0290440556187
2026-09-24 15:00:00,28.3,3462.5201132878988
2026-09-24 16:00:00,27.6,3414.7028478049847
2026-09-24 17:00:00,26.7,3404.2629252332613
2026-09-24 18:00:00,25.5,3307.59329347948
2026-09-24 19:00:00,24.7,3252.1333638846636
2026-09-24 20:00:00,24.2,3023.7747087680436
2026-09-24 21:00:00,23.8,2875.102443576927
2026-09-24 22:00:00,23.4,2762.717162232565
2026-09-24 23:00:00,23.1,2716.175966865279
