datetime,temperature,predicted_demand_10000kW
2026-09-27 00:00:00,18.1,2295.8817493349748
2026-09-27 01:00:00,18.1,2165.2228875357537
2026-09-27 02:00:00,18.1,2146.2161984938625
2026-09-27 03:00:00,18.0,2150.02396225284
2026-09-27 04:00:00,18.0,2152.5105404589603
2026-09-27 05:00:00,18.0,2144.008885072041
2026-09-27 06:00:00,18.1,2202.7225983699586
2026-09-27 07:00:00,18.3,2283.4563450657083
2026-09-27 08:00:00,18.5,2442.269338902144
2026-09-27 09:00:00,19.2,2600.9837086573552
2026-09-27 10:00:00,20.1,2556.9862271327856
2026-09-27 11:00:00,21.2,2546.652940033363
2026-09-27 12:00:00,21.9,2614.711590378765
2026-09-27 13:00:00,22.7,2647.4818887778597
2026-09-27 14:00:00,22.9,2619.5520893400503
2026-09-27 15:00:00,23.1,2616.216693308359
2026-09-27 16:00:00,22.9,2719.533178287807
2026-09-27 17:00:00,22.5,2752.8846516488325
2026-09-27 18:00:00,21.8,2742.7535658308066
2026-09-27 19:00:00,21.3,2754.6244627726505
2026-09-27 20:00:00,21.0,2679.747792433395
2026-09-27 21:00:00,20.9,2525.3454256842983
2026-09-27 22:00:00,20.7,2414.645638679434
2026-09-27 23:00:00,20.8,2313.6244659460795
