datetime,temperature,predicted_demand_10000kW
2026-09-04 00:00:00,23.6,2757.2637521630013
2026-09-04 01:00:00,23.1,2609.472002509892
2026-09-04 02:00:00,22.7,2578.9377443986828
2026-09-04 03:00:00,22.5,2528.1871139172335
2026-09-04 04:00:00,22.3,2526.01980741176
2026-09-04 05:00:00,22.2,2604.0690073837695
2026-09-04 06:00:00,22.4,2699.7375911193526
2026-09-04 07:00:00,22.2,3048.6008697599605
2026-09-04 08:00:00,22.4,3307.653650316398
2026-09-04 09:00:00,22.7,3647.134942048313
2026-09-04 10:00:00,23.2,3823.185242783606
2026-09-04 11:00:00,23.3,3818.064647280124
2026-09-04 12:00:00,23.4,3774.4296649677276
2026-09-04 13:00:00,23.6,3798.4753786722017
2026-09-04 14:00:00,23.7,3859.058513859789
2026-09-04 15:00:00,23.7,3839.46379317233
2026-09-04 16:00:00,23.6,3623.4578385975306
2026-09-04 17:00:00,23.3,3547.9256558191555
2026-09-04 18:00:00,22.7,3441.819920236119
2026-09-04 19:00:00,22.5,3356.653195231054
2026-09-04 20:00:00,22.2,3281.0645184925165
2026-09-04 21:00:00,22.1,3138.015230318955
2026-09-04 22:00:00,21.9,2926.616696426252
2026-09-04 23:00:00,21.7,2831.4309924138197
