datetime,temperature,predicted_demand_10000kW
2026-09-15 00:00:00,25.2,2614.1585261051755
2026-09-15 01:00:00,25.0,2475.514110097247
2026-09-15 02:00:00,24.8,2420.389014792409
2026-09-15 03:00:00,24.2,2462.526683810626
2026-09-15 04:00:00,23.8,2484.1524034746276
2026-09-15 05:00:00,24.1,2529.8805865934532
2026-09-15 06:00:00,24.0,2734.6155557002116
2026-09-15 07:00:00,23.7,3030.546260779489
2026-09-15 08:00:00,23.3,3406.3642866647083
2026-09-15 09:00:00,23.3,3561.7428420593737
2026-09-15 10:00:00,23.2,3617.6265556981157
2026-09-15 11:00:00,23.2,3691.209067142652
2026-09-15 12:00:00,24.3,3727.235793598477
2026-09-15 13:00:00,24.8,3861.782631553347
2026-09-15 14:00:00,25.5,3929.3214194525954
2026-09-15 15:00:00,26.1,3906.2359759393953
2026-09-15 16:00:00,26.3,3951.1360583081223
2026-09-15 17:00:00,25.8,3784.6777670555866
2026-09-15 18:00:00,25.0,3669.847371006759
2026-09-15 19:00:00,24.5,3557.9058173275516
2026-09-15 20:00:00,24.1,3451.6078792612343
2026-09-15 21:00:00,23.9,3283.2841426425553
2026-09-15 22:00:00,23.2,3134.8643953621076
2026-09-15 23:00:00,22.6,2987.659134857737
