datetime,temperature,predicted_demand_10000kW
2026-08-22 00:00:00,24.3,2788.796447311479
2026-08-22 01:00:00,24.1,2613.4931245135463
2026-08-22 02:00:00,24.0,2585.2281129542184
2026-08-22 03:00:00,23.8,2577.8698417897226
2026-08-22 04:00:00,23.5,2541.7608485745936
2026-08-22 05:00:00,23.4,2529.3822807295287
2026-08-22 06:00:00,23.4,2577.9515442531883
2026-08-22 07:00:00,23.9,2728.3854357939927
2026-08-22 08:00:00,24.7,3019.7114693273857
2026-08-22 09:00:00,25.3,3458.442715184699
2026-08-22 10:00:00,25.6,3585.955909700618
2026-08-22 11:00:00,26.6,3634.8734428591038
2026-08-22 12:00:00,27.9,3675.1816426792034
2026-08-22 13:00:00,28.5,3690.962567153842
2026-08-22 14:00:00,29.0,3649.4638317217873
2026-08-22 15:00:00,29.3,3748.488282345023
2026-08-22 16:00:00,29.2,3735.3079366550273
2026-08-22 17:00:00,29.0,3737.6546076891304
2026-08-22 18:00:00,27.0,3577.960715066843
2026-08-22 19:00:00,26.0,3321.8888596047823
2026-08-22 20:00:00,25.4,3269.5332737748254
2026-08-22 21:00:00,24.9,3037.0142968018235
2026-08-22 22:00:00,24.5,2893.093842500914
2026-08-22 23:00:00,24.2,2756.1686827496223
