datetime,temperature,predicted_demand_10000kW
2026-08-17 00:00:00,22.5,2391.7843089088956
2026-08-17 01:00:00,22.4,2342.0568176012002
2026-08-17 02:00:00,22.3,2207.6557853214567
2026-08-17 03:00:00,22.1,2233.932129519985
2026-08-17 04:00:00,22.0,2233.664854089296
2026-08-17 05:00:00,21.9,2371.725450100371
2026-08-17 06:00:00,22.0,2461.3090234228453
2026-08-17 07:00:00,22.6,2794.358935400466
2026-08-17 08:00:00,23.7,3194.2277484693545
2026-08-17 09:00:00,25.0,3470.4343778623233
2026-08-17 10:00:00,26.4,3643.650746098565
2026-08-17 11:00:00,27.7,3795.1622845382544
2026-08-17 12:00:00,28.8,3762.973683910297
2026-08-17 13:00:00,29.7,3897.4503187791765
2026-08-17 14:00:00,30.0,3903.591807022779
2026-08-17 15:00:00,29.9,3902.110520563223
2026-08-17 16:00:00,29.5,3906.8090284146983
2026-08-17 17:00:00,28.8,3771.5167959691084
2026-08-17 18:00:00,27.7,3710.266654766
2026-08-17 19:00:00,26.8,3557.2510972142395
2026-08-17 20:00:00,26.2,3362.716173784697
2026-08-17 21:00:00,25.8,3182.1687388706737
2026-08-17 22:00:00,25.3,2991.1341045036133
2026-08-17 23:00:00,24.8,2829.619419447179
