datetime,temperature,predicted_demand_10000kW
2026-09-09 00:00:00,26.8,2784.210137517411
2026-09-09 01:00:00,26.9,2621.9808549796717
2026-09-09 02:00:00,26.9,2538.3451833398
2026-09-09 03:00:00,26.9,2567.1024513432767
2026-09-09 04:00:00,26.8,2629.0946331773557
2026-09-09 05:00:00,27.0,2672.401414714985
2026-09-09 06:00:00,27.4,2839.8539938054123
2026-09-09 07:00:00,28.3,3114.6293114052955
2026-09-09 08:00:00,29.2,3814.8614673430548
2026-09-09 09:00:00,29.9,4115.442805725151
2026-09-09 10:00:00,30.5,4354.488907594535
2026-09-09 11:00:00,31.0,4475.668030005057
2026-09-09 12:00:00,30.9,4420.229485592024
2026-09-09 13:00:00,30.4,4429.432371301515
2026-09-09 14:00:00,30.2,4409.421583104497
2026-09-09 15:00:00,25.8,3972.7182322731774
2026-09-09 16:00:00,24.4,3766.933269806355
2026-09-09 17:00:00,23.1,3645.6954423730563
2026-09-09 18:00:00,22.3,3561.739352367345
2026-09-09 19:00:00,21.8,3396.1563383344173
2026-09-09 20:00:00,20.9,3266.5270929197877
2026-09-09 21:00:00,20.0,3060.298952956977
2026-09-09 22:00:00,19.6,2970.1177462178944
2026-09-09 23:00:00,19.1,2787.195562948151
