datetime,temperature,predicted_demand_10000kW
2026-09-01 00:00:00,22.9,2559.776204567847
2026-09-01 01:00:00,22.6,2446.6104683507097
2026-09-01 02:00:00,22.4,2431.5071649741703
2026-09-01 03:00:00,22.3,2381.5782938844754
2026-09-01 04:00:00,22.3,2397.255183183218
2026-09-01 05:00:00,22.2,2508.436303691088
2026-09-01 06:00:00,22.2,2641.2233962284204
2026-09-01 07:00:00,22.9,3052.7729029067723
2026-09-01 08:00:00,24.0,3300.1112392338323
2026-09-01 09:00:00,25.0,3617.444291543084
2026-09-01 10:00:00,26.0,3965.6001812558197
2026-09-01 11:00:00,27.0,4135.674791582095
2026-09-01 12:00:00,28.1,4185.8017946106675
2026-09-01 13:00:00,29.0,4291.65121971856
2026-09-01 14:00:00,29.7,4446.176163170254
2026-09-01 15:00:00,29.9,4466.871453131691
2026-09-01 16:00:00,29.8,4466.270927296811
2026-09-01 17:00:00,29.1,4204.147536392414
2026-09-01 18:00:00,27.9,4075.8424195893067
2026-09-01 19:00:00,27.2,3786.406209845477
2026-09-01 20:00:00,26.8,3525.2838379291206
2026-09-01 21:00:00,26.4,3365.145919104776
2026-09-01 22:00:00,26.0,3194.1582903520916
2026-09-01 23:00:00,25.6,3067.56752798423
