datetime,temperature,predicted_demand_10000kW
2026-08-18 00:00:00,24.1,2514.7389063861833
2026-08-18 01:00:00,23.8,2380.581811119892
2026-08-18 02:00:00,23.5,2311.994820415551
2026-08-18 03:00:00,23.3,2342.0172211101262
2026-08-18 04:00:00,23.0,2350.451484105749
2026-08-18 05:00:00,22.7,2396.184262952397
2026-08-18 06:00:00,22.9,2539.4972552249433
2026-08-18 07:00:00,23.8,2910.497885841253
2026-08-18 08:00:00,25.3,3242.9148175908676
2026-08-18 09:00:00,26.7,3715.692596568586
2026-08-18 10:00:00,27.8,3839.8364017386757
2026-08-18 11:00:00,29.1,3986.794099540148
2026-08-18 12:00:00,30.0,3982.454283504023
2026-08-18 13:00:00,30.8,4318.241147462702
2026-08-18 14:00:00,31.0,4322.4967362616
2026-08-18 15:00:00,30.4,4205.195988666179
2026-08-18 16:00:00,29.8,3970.762506941855
2026-08-18 17:00:00,28.8,3893.7001475477073
2026-08-18 18:00:00,27.7,3789.7904888217886
2026-08-18 19:00:00,26.9,3677.244730930587
2026-08-18 20:00:00,26.4,3538.223489105226
2026-08-18 21:00:00,25.9,3303.765126846194
2026-08-18 22:00:00,25.4,3130.9792040202747
2026-08-18 23:00:00,24.9,2866.7150698898527
