datetime,temperature,predicted_demand_10000kW
2026-08-15 00:00:00,24.1,2465.9398162695347
2026-08-15 01:00:00,24.0,2413.3814537985772
2026-08-15 02:00:00,23.9,2347.60994868379
2026-08-15 03:00:00,23.7,2317.1073308040636
2026-08-15 04:00:00,23.6,2317.5279928636605
2026-08-15 05:00:00,23.5,2324.6992667007216
2026-08-15 06:00:00,23.6,2341.776435330524
2026-08-15 07:00:00,24.1,2413.2454627649417
2026-08-15 08:00:00,24.7,2763.61641087481
2026-08-15 09:00:00,25.5,2995.101629217617
2026-08-15 10:00:00,26.4,2995.9835586301147
2026-08-15 11:00:00,27.4,3184.4691709209596
2026-08-15 12:00:00,27.4,3127.2369303329574
2026-08-15 13:00:00,25.9,2995.499201867912
2026-08-15 14:00:00,26.1,2994.050094703472
2026-08-15 15:00:00,26.3,3026.8672924980606
2026-08-15 16:00:00,26.5,3083.823799768044
2026-08-15 17:00:00,26.5,3214.8169392541063
2026-08-15 18:00:00,26.2,3243.7895862410423
2026-08-15 19:00:00,25.3,3169.302683564959
2026-08-15 20:00:00,24.7,3028.0086783308084
2026-08-15 21:00:00,24.2,2930.832455098033
2026-08-15 22:00:00,23.7,2774.6186070170907
2026-08-15 23:00:00,23.4,2633.7628502995967
