datetime,temperature,predicted_demand_10000kW
2026-09-13 00:00:00,21.5,2260.3300529557728
2026-09-13 01:00:00,21.3,2153.0763751015247
2026-09-13 02:00:00,21.2,2129.708396321279
2026-09-13 03:00:00,21.1,2134.9266626112
2026-09-13 04:00:00,21.0,2147.64941945792
2026-09-13 05:00:00,20.9,2155.561782830681
2026-09-13 06:00:00,20.9,2160.1251833663523
2026-09-13 07:00:00,21.1,2238.3512677080234
2026-09-13 08:00:00,21.6,2361.9132923761495
2026-09-13 09:00:00,22.1,2569.2689999419154
2026-09-13 10:00:00,22.8,2643.5701948156166
2026-09-13 11:00:00,23.5,2704.3427218324023
2026-09-13 12:00:00,24.3,2715.014902842739
2026-09-13 13:00:00,25.3,2783.0098027657364
2026-09-13 14:00:00,26.1,2795.359989354676
2026-09-13 15:00:00,26.2,2881.723292260677
2026-09-13 16:00:00,26.1,2907.0972737819498
2026-09-13 17:00:00,25.6,2945.072454502609
2026-09-13 18:00:00,24.9,3057.2324531352765
2026-09-13 19:00:00,24.3,2969.411785793713
2026-09-13 20:00:00,23.9,2905.7273908334323
2026-09-13 21:00:00,23.7,2716.33704198355
2026-09-13 22:00:00,23.7,2669.924982912596
2026-09-13 23:00:00,23.7,2569.0002169949316
