datetime,temperature,predicted_demand_10000kW
2026-08-10 00:00:00,23.7,2689.8311391788816
2026-08-10 01:00:00,23.6,2549.2260361910203
2026-08-10 02:00:00,23.4,2570.73081080888
2026-08-10 03:00:00,23.3,2544.786095583178
2026-08-10 04:00:00,23.2,2481.766207767147
2026-08-10 05:00:00,23.2,2567.209287705511
2026-08-10 06:00:00,23.3,2756.4243571149536
2026-08-10 07:00:00,23.7,3219.6913932927337
2026-08-10 08:00:00,24.4,3546.12741717779
2026-08-10 09:00:00,25.3,3771.022280950923
2026-08-10 10:00:00,26.7,4001.4753369539494
2026-08-10 11:00:00,28.0,4057.4960725597616
2026-08-10 12:00:00,29.0,4092.1077107906244
2026-08-10 13:00:00,29.6,4263.605052569477
2026-08-10 14:00:00,30.0,4286.599424026401
2026-08-10 15:00:00,29.8,4281.705929249911
2026-08-10 16:00:00,29.0,4130.155514472282
2026-08-10 17:00:00,27.8,3981.9162003202623
2026-08-10 18:00:00,26.1,3671.7601314315266
2026-08-10 19:00:00,24.7,3571.5879921390906
2026-08-10 20:00:00,24.0,3422.901927660769
2026-08-10 21:00:00,23.5,3283.0553632952488
2026-08-10 22:00:00,23.1,3091.1872112437954
2026-08-10 23:00:00,22.8,2953.902725722687
