datetime,temperature,predicted_demand_10000kW
2026-09-25 00:00:00,22.3,2396.6870541759426
2026-09-25 01:00:00,21.7,2284.2761651621936
2026-09-25 02:00:00,21.6,2235.617328349299
2026-09-25 03:00:00,21.4,2257.1401540190623
2026-09-25 04:00:00,21.2,2262.6586560361716
2026-09-25 05:00:00,20.9,2300.656962782909
2026-09-25 06:00:00,20.4,2378.0734151354236
2026-09-25 07:00:00,21.0,2636.6732065741253
2026-09-25 08:00:00,21.9,2968.0448210009176
2026-09-25 09:00:00,23.1,3289.1573133550132
2026-09-25 10:00:00,24.4,3423.655919988236
2026-09-25 11:00:00,25.3,3522.281319963219
2026-09-25 12:00:00,26.0,3549.5870873962012
2026-09-25 13:00:00,26.4,3647.4216604583526
2026-09-25 14:00:00,26.7,3731.738072390064
2026-09-25 15:00:00,26.5,3736.0501003190043
2026-09-25 16:00:00,25.8,3637.7001858867566
2026-09-25 17:00:00,25.1,3466.146457342971
2026-09-25 18:00:00,24.2,3359.443764073285
2026-09-25 19:00:00,23.6,3280.330673992973
2026-09-25 20:00:00,23.2,3168.8710324148674
2026-09-25 21:00:00,22.9,2997.658879770849
2026-09-25 22:00:00,22.7,2829.5605610607013
2026-09-25 23:00:00,22.5,2669.032674024446
