datetime,temperature,predicted_demand_10000kW
2026-08-25 00:00:00,25.6,2776.7375431798687
2026-08-25 01:00:00,25.4,2617.2919483816045
2026-08-25 02:00:00,25.0,2582.5409226281345
2026-08-25 03:00:00,24.8,2574.7777552884922
2026-08-25 04:00:00,24.6,2609.1606132370434
2026-08-25 05:00:00,24.5,2715.0989085784727
2026-08-25 06:00:00,24.7,2880.1339669076965
2026-08-25 07:00:00,26.0,3303.9304851161114
2026-08-25 08:00:00,27.9,3777.7556584693184
2026-08-25 09:00:00,29.9,4492.948423263346
2026-08-25 10:00:00,31.4,4817.228715257938
2026-08-25 11:00:00,32.7,5053.531390920042
2026-08-25 12:00:00,33.5,5186.245649625452
2026-08-25 13:00:00,33.5,5252.120948534046
2026-08-25 14:00:00,33.4,5120.533114152396
2026-08-25 15:00:00,33.0,5071.22562303489
2026-08-25 16:00:00,32.2,4987.976705800074
2026-08-25 17:00:00,31.2,4687.195008940054
2026-08-25 18:00:00,30.0,4477.402710355987
2026-08-25 19:00:00,29.0,4295.986696486917
2026-08-25 20:00:00,28.4,3972.1735413354277
2026-08-25 21:00:00,28.0,3765.5999201261366
2026-08-25 22:00:00,27.5,3517.9928938851413
2026-08-25 23:00:00,27.1,3338.4788819160617
