datetime,temperature,predicted_demand_10000kW
2026-08-20 00:00:00,25.1,2800.655202979306
2026-08-20 01:00:00,24.9,2588.924858481821
2026-08-20 02:00:00,24.7,2565.617682958914
2026-08-20 03:00:00,24.4,2524.487991599656
2026-08-20 04:00:00,24.2,2537.665881219701
2026-08-20 05:00:00,24.1,2608.7007226797436
2026-08-20 06:00:00,24.4,2757.0660292261728
2026-08-20 07:00:00,25.3,3132.463299436405
2026-08-20 08:00:00,26.5,3635.0769366172985
2026-08-20 09:00:00,27.7,4027.138848115919
2026-08-20 10:00:00,28.7,4177.156934440954
2026-08-20 11:00:00,29.4,4356.437662815025
2026-08-20 12:00:00,29.9,4377.77457284754
2026-08-20 13:00:00,30.3,4520.980540839673
2026-08-20 14:00:00,30.7,4529.971414509218
2026-08-20 15:00:00,30.7,4558.033414080327
2026-08-20 16:00:00,30.4,4524.767943817655
2026-08-20 17:00:00,29.6,4361.700379092535
2026-08-20 18:00:00,28.2,4083.29796770864
2026-08-20 19:00:00,27.1,3829.257715566482
2026-08-20 20:00:00,26.4,3592.6949038877783
2026-08-20 21:00:00,26.0,3473.3051014221073
2026-08-20 22:00:00,25.7,3302.147040121538
2026-08-20 23:00:00,25.5,3130.0049347931613
