datetime,temperature,predicted_demand_10000kW
2026-09-03 00:00:00,25.1,2845.6193474163224
2026-09-03 01:00:00,25.0,2615.835208491861
2026-09-03 02:00:00,24.7,2601.5989588170755
2026-09-03 03:00:00,24.4,2597.280060344875
2026-09-03 04:00:00,24.3,2608.727879958879
2026-09-03 05:00:00,24.3,2634.6224033064605
2026-09-03 06:00:00,24.4,2863.2005121776474
2026-09-03 07:00:00,25.0,3158.822456354201
2026-09-03 08:00:00,25.7,3661.7714851740066
2026-09-03 09:00:00,26.7,4055.1815656581857
2026-09-03 10:00:00,27.6,4359.557125093547
2026-09-03 11:00:00,28.5,4481.246303734977
2026-09-03 12:00:00,29.3,4552.181237196244
2026-09-03 13:00:00,30.1,4613.067271799028
2026-09-03 14:00:00,30.2,4508.362148673155
2026-09-03 15:00:00,29.6,4482.255898494291
2026-09-03 16:00:00,28.8,4367.462342074241
2026-09-03 17:00:00,28.0,4154.361708244952
2026-09-03 18:00:00,26.7,4013.7328080678503
2026-09-03 19:00:00,26.0,3789.6037604867397
2026-09-03 20:00:00,25.5,3623.7073679881346
2026-09-03 21:00:00,25.1,3441.4937262807102
2026-09-03 22:00:00,24.9,3286.180596805477
2026-09-03 23:00:00,24.7,3162.801797753354
