datetime,temperature,predicted_demand_10000kW
2026-08-27 00:00:00,26.2,3119.259032781646
2026-08-27 01:00:00,25.7,2861.034027112147
2026-08-27 02:00:00,25.4,2755.300136034653
2026-08-27 03:00:00,25.2,2741.633331537937
2026-08-27 04:00:00,24.9,2754.2677061550953
2026-08-27 05:00:00,24.8,2803.474083858351
2026-08-27 06:00:00,24.9,3009.8611834652306
2026-08-27 07:00:00,25.7,3302.6437859770504
2026-08-27 08:00:00,26.9,3977.8432880743044
2026-08-27 09:00:00,28.1,4369.7269708788435
2026-08-27 10:00:00,29.1,4397.321963222321
2026-08-27 11:00:00,29.6,4556.4134113181335
2026-08-27 12:00:00,29.6,4529.271942634504
2026-08-27 13:00:00,28.9,4420.101954958445
2026-08-27 14:00:00,28.5,4379.936906690672
2026-08-27 15:00:00,27.5,4267.3454902262565
2026-08-27 16:00:00,26.8,4135.018787432957
2026-08-27 17:00:00,26.6,3953.0855073791795
2026-08-27 18:00:00,25.5,3883.2038020432033
2026-08-27 19:00:00,25.1,3882.01028455894
2026-08-27 20:00:00,24.8,3678.427194345937
2026-08-27 21:00:00,24.6,3489.6807793344046
2026-08-27 22:00:00,24.4,3246.6330311403076
2026-08-27 23:00:00,24.3,3060.0291633448824
